,id,color1,color2,color3,color4
292,photography599,#0C0C0C,#556676,#272727,#8E8E8E
293,works-on-paper983,#AF4547,#D9D9D7,#5B5869,#7F4343
294,prints341,#C99B84,#FCDDA4,#534846,#DBD5C7
295,works-on-paper773,#292824,#F2EDE9,#9D9EA3,#DCAC26
296,prints369,#FFFFFF,#FCE44C,#65C94D,#2E3432
297,works-on-paper1079,#E7AD41,#221E1B,#F1EDEA,#3484BF
298,works-on-paper767,#D2C3B0,#C0C9CE,#92918D,#78B1CF
299,prints1214,#FCF7E3,#FFCD00,#F4AC57,#FAB421
300,photography1009,#FBFCFE,#C3B26D,#E3DFC4,#A18C39
301,mixed-media1093,#EAECE9,#2A2A28,#656460,#0C0D0F
302,prints802,#E5E5E5,#E4D30A,#EEE7CD,#EDE4A1
303,prints143,#A69C92,#040404,#199AAF,#CECDCB
304,prints625,#F4F4F2,#9BC639,#FF4427,#E2DEBB
305,works-on-paper217,#F1D9B7,#937B57,#CAB28E,#755D39
306,painting1109,#845307,#0B1320,#DEA03B,#0D0F0A
307,mixed-media1050,#FDF9F6,#010508,#ABAFB0,#6B6C67
308,works-on-paper565,#88A8BD,#325F74,#AFB4AE,#002D44
309,mixed-media533,#170F0C,#5D1E15,#351814,#7A2015
310,photography638,#010207,#171D29,#2B3848,#435468
311,prints1374,#000000,#FFFFFF,#EB1A2F,#82C341
312,prints786,#E8E8E8,#202020,#3D3936,#595554
313,prints1412,#FFFFFF,#14171E,#2E2E30,#D2D2D2
314,prints1406,#D7E9F3,#B5C8D7,#6C7174,#993F4B
315,prints792,#F1F1F1,#201E21,#3A383D,#C7C7C7
316,painting1096,#B3A42D,#9B8426,#080705,#71631C
317,prints1360,#F7F6F2,#D5CBBF,#B7A79A,#93857A
318,prints1348,#907F63,#A7968C,#7B653C,#716A5A
319,photography43,#EAE9E4,#2F2D32,#929095,#C8C7C3
320,works-on-paper55,#F1F1F1,#EEC492,#C99E74,#AE9883
321,photography57,#1F1F1F,#AEB5BF,#403E41,#EDEEF2
322,prints745,#E6E6E6,#FF7302,#CBC4CB,#E5F701
323,painting1041,#684100,#C6D5D8,#FFFFFF,#875D13
324,photography1182,#7C6A5C,#5C4C3D,#060503,#251E14
325,photography823,#EFEEEA,#1D1B1C,#A3A3A3,#C7C7C7
326,works-on-paper1455,#E8E0DE,#000000,#C8BFB8,#FFE4CF
327,prints989,#FAFAFA,#D7D7D7,#B5B5B5,#000000
328,prints779,#F0F0F0,#BFB8B2,#1E1D19,#4E444D
329,mixed-media453,#626F68,#F3F9F5,#2B342F,#818E87
330,works-on-paper96,#F7F7F7,#D4D4D4,#918474,#645B54
331,mixed-media1130,#D3D3D1,#0F4C51,#22202D,#272A8B
332,prints42,#E2DFD8,#9CB13C,#CEC0A3,#FE3B01
333,prints1176,#670001,#000000,#4E0000,#7C1F27
334,photography1357,#0E0E10,#FFFFFF,#CFCCC7,#A9A9A9
335,prints590,#C0B88A,#25221D,#FDFDFD,#3F3C37
336,prints56,#E6E8E5,#6D7A82,#282C2D,#AFB6BC
337,photography1431,#566163,#21221C,#ECDAC6,#3B443F
338,photography360,#A39C7F,#C2BCA2,#827B5F,#FFFFFF
339,prints221,#E5E5E5,#010101,#ED0156,#BE0056
340,prints553,#E15151,#F2F1EC,#BC4143,#E46A53
