,artist_links
328,https://www.widewalls.ch/artists/clarence-holbrook-carter
329,https://www.widewalls.ch/artists/steffi-moellers
330,https://www.widewalls.ch/artists/tim-fawcett
331,https://www.widewalls.ch/artists/martina-nehrling
332,https://www.widewalls.ch/artists/fanny-finkelman-szyller
333,https://www.widewalls.ch/artists/guang-yu-zhang
334,https://www.widewalls.ch/artists/oliver-dorfer
335,https://www.widewalls.ch/artists/judith-godwin
336,https://www.widewalls.ch/artists/joyce-weinstein
337,https://www.widewalls.ch/artists/patrick-chamberlain
338,https://www.widewalls.ch/artists/tommaso-fattovich
339,https://www.widewalls.ch/artists/linda-coppens
340,https://www.widewalls.ch/artists/stephan-zirwes
341,https://www.widewalls.ch/artists/jason-engelund
342,https://www.widewalls.ch/artists/brooke-noel-morgan
343,https://www.widewalls.ch/artists/andres-ferrandis
344,https://www.widewalls.ch/artists/jill-peters
345,https://www.widewalls.ch/artists/amelia-coward
346,https://www.widewalls.ch/artists/ali-alisir
347,https://www.widewalls.ch/artists/sos
348,https://www.widewalls.ch/artists/lawrence-fried
349,https://www.widewalls.ch/artists/aaron-stansberry
350,https://www.widewalls.ch/artists/roy-lichtenstein
351,https://www.widewalls.ch/artists/farhad-moshiri
352,https://www.widewalls.ch/artists/sam-francis
353,https://www.widewalls.ch/artists/allen-jones
354,https://www.widewalls.ch/artists/atelier-van-lieshout
355,https://www.widewalls.ch/artists/deborah-claxton
356,https://www.widewalls.ch/artists/anya-spielman
357,https://www.widewalls.ch/artists/ryan-mcginness
358,https://www.widewalls.ch/artists/simon-vega
359,https://www.widewalls.ch/artists/gelitin
360,https://www.widewalls.ch/artists/pierre-yermia
361,https://www.widewalls.ch/artists/bharti-kher
362,https://www.widewalls.ch/artists/melissa-meyer
363,https://www.widewalls.ch/artists/christophe-jacrot
364,https://www.widewalls.ch/artists/xavier-dumoulin
365,https://www.widewalls.ch/artists/jakob-kirchmayr
366,https://www.widewalls.ch/artists/sabina-forbes-ii
367,https://www.widewalls.ch/artists/marcelo-cipis
368,https://www.widewalls.ch/artists/ale-osollo
369,https://www.widewalls.ch/artists/sylvia-moritz
370,https://www.widewalls.ch/artists/tom-henderson
371,https://www.widewalls.ch/artists/stephanie-rainer
372,https://www.widewalls.ch/artists/jenny-perez
373,https://www.widewalls.ch/artists/assunta-aam
374,https://www.widewalls.ch/artists/glen-rubsamen
375,https://www.widewalls.ch/artists/giulia-ricci
376,https://www.widewalls.ch/artists/alejandro-vega-beuvrin
377,https://www.widewalls.ch/artists/bill-kane
378,https://www.widewalls.ch/artists/alain-clement
379,https://www.widewalls.ch/artists/leo-matiz
380,https://www.widewalls.ch/artists/elena-bulatova
381,https://www.widewalls.ch/artists/patrick-pepin
382,https://www.widewalls.ch/artists/bas-meeuws
383,https://www.widewalls.ch/artists/yevgen-lisniak
384,https://www.widewalls.ch/artists/tom-price
385,https://www.widewalls.ch/artists/tina-loiodice
386,https://www.widewalls.ch/artists/viviane-rombaldi-seppey
387,https://www.widewalls.ch/artists/paola-davila
388,https://www.widewalls.ch/artists/israel-rubinstein
389,https://www.widewalls.ch/artists/mindy-sue-meyers
390,https://www.widewalls.ch/artists/jim-dine
391,https://www.widewalls.ch/artists/richard-lindner
392,https://www.widewalls.ch/artists/roger-brown
393,https://www.widewalls.ch/artists/john-grillo
394,https://www.widewalls.ch/artists/luigi-ghirri
395,https://www.widewalls.ch/artists/brent-hallard
396,https://www.widewalls.ch/artists/peter-soriano
397,https://www.widewalls.ch/artists/jaanika-peerna
398,https://www.widewalls.ch/artists/greg-beebe
399,https://www.widewalls.ch/artists/space-invader
400,https://www.widewalls.ch/artists/lek
401,https://www.widewalls.ch/artists/paul-jenkins
402,https://www.widewalls.ch/artists/harald-kroner
403,https://www.widewalls.ch/artists/andre-minaux
404,https://www.widewalls.ch/artists/eduardo-paolozzi
405,https://www.widewalls.ch/artists/jmr
406,https://www.widewalls.ch/artists/johan-creten
407,https://www.widewalls.ch/artists/jean-feinberg
408,https://www.widewalls.ch/artists/ian-mckeever
409,https://www.widewalls.ch/artists/efren-isaza
410,https://www.widewalls.ch/artists/john-henderson
